likes,body,url
1207,Выбор программиста,https://sun9-53.userapi.com/c857228/v857228480/b714f/eXEe6vAzwc4.jpg
350,"OTUS запускает курсы по математике — как ни странно, она нужна и разработчикам, и аналитикам, и датасаентистам. Есть программы и для освоивших матешу только в школе, и для столкнувшихся с вышматом в вузе.

Пройдите вступительный тест и получите скидку 15%: https://tprg.ru/s2hj

Это #партнёрский пост",https://sun9-27.userapi.com/c858016/v858016751/153129/-8FOwBpLMZE.jpg
1178,Прокачанная IDE — гордость программиста,https://sun9-62.userapi.com/c853624/v853624544/1d11f8/a6G_CBzFzBo.jpg
495,Когда проводишь код-ревью,https://sun9-10.userapi.com/c853624/v853624544/1d11ee/ZJT0srCa7z0.jpg
1348,И у IDE бывает депрессия,https://sun9-61.userapi.com/c853624/v853624544/1d11e5/b7Zi0CF1XAA.jpg
627,"В Турции разблокировали Википедию. На это потребовалась чуть меньше, чем 1000 и 1 ночь (а именно 991). 

Спасительницу всех студентов забанили в Турции 2017 в году после того, как она отказалась удалять статьи, в которых упоминается, что их правительство сотрудничало с ИГИЛ (организация, запрещённая на территории РФ) и Аль-Каидой. И после почти трёх лет, Конституционный суд Турции постановил, что это нарушение свободы слова. Пока что не все провайдеры сняли блокировку, но дело постепенно к тому идёт. 

#мемовости@tnull",https://sun9-65.userapi.com/c858024/v858024504/15c967/5i7RY7iQLf4.jpg
805,Когда не технарь просит рассказать тебя о своей работе,https://sun9-65.userapi.com/c858024/v858024504/15c967/5i7RY7iQLf4.jpg
433,Наглядная визуализация работы рекурсивной функции,https://sun9-65.userapi.com/c858024/v858024504/15c967/5i7RY7iQLf4.jpg
811,"Не уверен, это мой код красивый и оптимальный, или я так долго работаю, что уже забыл, как выглядит хороший код",https://sun9-49.userapi.com/c854524/v854524685/1c47da/ksCHsNMWQew.jpg
25,"Вакансия DevOps Team Lead в DINS

Готовы стать руководителем команды DevOps-инженеров? Тогда смотрите видео, в котором сотрудник DINS рассказывает про компанию, стек разработки и задачи для нового тимлида, а затем переходите по ссылке для отклика на вакансию: https://tprg.ru/pLtB

Это #партнёрский пост",https://sun9-49.userapi.com/c854524/v854524685/1c47da/ksCHsNMWQew.jpg
